"1778254019.675949400","57.144.55.32","10.164.97.208","5222","43165","117"
"1778254019.677496400","10.164.97.208","57.144.55.32","43165","5222","111"
"1778254019.726827100","57.144.55.32","10.164.97.208","5222","43165","54"
"1778254022.259113000","10.164.97.208","10.164.97.126","46043","53","66"
"1778254022.259416600","10.164.97.208","10.164.97.126","46044","53","66"
"1778254022.259598600","10.164.97.208","10.164.97.126","46045","53","66"
"1778254022.270703400","10.164.97.126","10.164.97.208","53","46043","70"
"1778254022.270804100","10.164.97.208","10.164.97.126","46043","53","54"
"1778254022.270918200","10.164.97.126","10.164.97.208","53","46044","70"
"1778254022.270987000","10.164.97.208","10.164.97.126","46044","53","54"
"1778254022.271070800","10.164.97.208","10.164.97.126","46043","53","56"
"1778254022.271112600","10.164.97.126","10.164.97.208","53","46045","70"
"1778254022.271183600","10.164.97.208","10.164.97.126","46045","53","54"
"1778254022.271206800","10.164.97.208","10.164.97.126","46043","53","86"
"1778254022.271410400","10.164.97.208","10.164.97.126","46044","53","56"
"1778254022.271461300","10.164.97.208","10.164.97.126","46044","53","86"
"1778254022.271575100","10.164.97.208","10.164.97.126","46045","53","56"
"1778254022.271606500","10.164.97.208","10.164.97.126","46045","53","86"
"1778254022.272453100","10.164.97.126","10.164.97.208","53","46043","54"
"1778254022.274167600","10.164.97.126","10.164.97.208","53","46043","54"
"1778254022.274167600","10.164.97.126","10.164.97.208","53","46044","54"
"1778254022.274167600","10.164.97.126","10.164.97.208","53","46044","54"
"1778254022.274167600","10.164.97.126","10.164.97.208","53","46045","54"
"1778254022.274167600","10.164.97.126","10.164.97.208","53","46045","54"
"1778254022.276993200","10.164.97.126","10.164.97.208","53","46044","55"
"1778254022.277084700","10.164.97.126","10.164.97.208","53","46045","55"
"1778254022.330786100","10.164.97.208","10.164.97.126","46044","53","54"
"1778254022.330940600","10.164.97.208","10.164.97.126","46045","53","54"
"1778254022.333210500","10.164.97.126","10.164.97.208","53","46044","311"
"1778254022.333210500","10.164.97.126","10.164.97.208","53","46045","215"
"1778254022.333678600","10.164.97.208","10.164.97.126","46044","53","54"
"1778254022.333942100","10.164.97.208","10.164.97.126","46045","53","54"
"1778254022.336221900","10.164.97.126","10.164.97.208","53","46044","54"
"1778254022.336221900","10.164.97.126","10.164.97.208","53","46045","54"
"1778254022.336266200","10.164.97.208","10.164.97.126","46044","53","54"
"1778254022.336341200","10.164.97.208","10.164.97.126","46045","53","54"
"1778254022.362563600","10.164.97.208","10.164.97.126","46043","53","54"
"1778254022.395694200","10.164.97.126","10.164.97.208","53","46043","55"
"1778254022.395694200","10.164.97.126","10.164.97.208","53","46043","112"
"1778254022.395767400","10.164.97.208","10.164.97.126","46043","53","54"
"1778254028.596599500","10.164.97.208","57.144.55.32","43165","5222","124"
"1778254028.695794600","57.144.55.32","10.164.97.208","5222","43165","54"
"1778254028.953859200","57.144.55.32","10.164.97.208","5222","43165","126"
"1778254028.994877100","10.164.97.208","57.144.55.32","43165","5222","54"
"1778254034.690859400","57.144.55.32","10.164.97.208","5222","43165","138"
"1778254034.690859400","57.144.55.32","10.164.97.208","5222","43165","138"
"1778254034.690946800","10.164.97.208","57.144.55.32","43165","5222","66"
"1778254034.767058100","10.164.97.208","57.144.55.32","43165","5222","129"
"1778254034.796398100","57.144.55.32","10.164.97.208","5222","43165","54"
