1777705799.172215419	10.10.0.106	104.18.32.47	54420	443	7306
1777705799.172246566	10.10.0.106	104.18.32.47	54420	443	7306
1777705799.172747009	104.18.32.47	10.10.0.106	443	54420	66
1777705799.172747480	104.18.32.47	10.10.0.106	443	54420	66
1777705799.172747631	104.18.32.47	10.10.0.106	443	54420	66
1777705799.172795242	10.10.0.106	104.18.32.47	54420	443	5858
1777705799.172818124	10.10.0.106	104.18.32.47	54420	443	592
1777705799.173059844	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173060225	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173369830	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173370171	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173370331	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173672048	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173672396	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173987907	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173988253	104.18.32.47	10.10.0.106	443	54420	66
1777705799.173988413	104.18.32.47	10.10.0.106	443	54420	66
1777705799.174300030	104.18.32.47	10.10.0.106	443	54420	66
1777705799.174300414	104.18.32.47	10.10.0.106	443	54420	66
1777705799.405627839	104.18.32.47	10.10.0.106	443	54420	507
1777705799.405628160	104.18.32.47	10.10.0.106	443	54420	97
1777705799.405824737	10.10.0.106	104.18.32.47	54420	443	66
1777705799.981075207	10.10.0.106	52.123.176.59	49766	443	116
1777705800.017278141	52.123.176.59	10.10.0.106	443	49766	105
1777705800.017320153	10.10.0.106	52.123.176.59	49766	443	66
1777705800.057173025	10.10.0.106	172.64.144.52	57674	443	66
1777705800.057346770	172.64.144.52	10.10.0.106	443	57674	66
1777705800.939521542	52.108.44.3	10.10.0.106	443	60756	98
1777705800.939970399	10.10.0.106	52.108.44.3	60756	443	89
1777705800.940089974	10.10.0.106	52.108.44.3	60756	443	89
1777705800.968746745	52.108.44.3	10.10.0.106	443	60756	60
1777705802.070737634	10.10.0.106	57.144.81.32	47938	443	136
1777705802.088653574	10.10.0.106	52.108.36.35	46232	443	2895
1777705802.088730270	10.10.0.106	52.108.36.35	46232	443	808
1777705802.096767473	57.144.81.32	10.10.0.106	443	47938	66
1777705802.102918850	10.10.0.106	52.108.36.35	46242	443	827
1777705802.102963650	10.10.0.106	52.108.36.35	46242	443	2329
1777705802.288526542	57.144.81.32	10.10.0.106	443	47938	138
1777705802.329178282	10.10.0.106	57.144.81.32	47938	443	66
1777705802.401833820	52.108.36.35	10.10.0.106	443	46232	60
1777705802.403110421	52.108.36.35	10.10.0.106	443	46232	1523
1777705802.403167227	10.10.0.106	52.108.36.35	46232	443	54
1777705802.411360739	52.108.36.35	10.10.0.106	443	46242	60
1777705802.413356554	52.108.36.35	10.10.0.106	443	46242	936
1777705802.413394731	10.10.0.106	52.108.36.35	46242	443	54
1777705804.089019544	10.10.0.106	104.18.32.47	54420	443	7306
1777705804.089043761	10.10.0.106	104.18.32.47	54420	443	775
1777705804.089183114	10.10.0.106	104.18.32.47	54420	443	1279
1777705804.089338274	104.18.32.47	10.10.0.106	443	54420	66
1777705804.089474355	104.18.32.47	10.10.0.106	443	54420	66
1777705804.089580433	104.18.32.47	10.10.0.106	443	54420	66
1777705804.089707602	104.18.32.47	10.10.0.106	443	54420	66
1777705804.089828079	104.18.32.47	10.10.0.106	443	54420	66
1777705804.089934511	104.18.32.47	10.10.0.106	443	54420	66
1777705804.090026617	104.18.32.47	10.10.0.106	443	54420	66
1777705804.373234857	104.18.32.47	10.10.0.106	443	54420	383
1777705804.373235460	104.18.32.47	10.10.0.106	443	54420	113
1777705804.373235614	104.18.32.47	10.10.0.106	443	54420	97
1777705804.373441457	10.10.0.106	104.18.32.47	54420	443	66
1777705804.377463080	10.10.0.106	104.18.32.47	54420	443	101
1777705804.377641582	104.18.32.47	10.10.0.106	443	54420	66
1777705808.249182893	10.10.0.106	52.98.88.242	47246	443	66
1777705808.249379810	52.98.88.242	10.10.0.106	443	47246	66
1777705809.068667905	10.10.0.106	52.108.44.3	60756	443	102
1777705809.141601988	52.108.44.3	10.10.0.106	443	60756	60
1777705810.618897801	172.64.148.235	10.10.0.106	443	45046	90
1777705810.618941168	10.10.0.106	172.64.148.235	45046	443	66
1777705810.619201705	10.10.0.106	172.64.148.235	45046	443	94
1777705810.619384091	172.64.148.235	10.10.0.106	443	45046	66
1777705813.074837034	10.10.0.106	52.108.8.12	60828	443	5653
1777705813.074934855	10.10.0.106	52.108.8.12	60828	443	105
1777705813.074976323	10.10.0.106	52.108.8.12	60828	443	2129
1777705813.075129735	52.108.8.12	10.10.0.106	443	60828	66
1777705813.075237499	52.108.8.12	10.10.0.106	443	60828	66
1777705813.075406420	52.108.8.12	10.10.0.106	443	60828	66
1777705813.075515371	52.108.8.12	10.10.0.106	443	60828	66
1777705813.075515771	52.108.8.12	10.10.0.106	443	60828	66
1777705813.075675755	52.108.8.12	10.10.0.106	443	60828	66
1777705813.075676238	52.108.8.12	10.10.0.106	443	60828	66
1777705813.082323442	10.10.0.106	57.144.81.32	47938	443	563
1777705813.108042729	52.108.8.12	10.10.0.106	443	60828	105
1777705813.108521760	57.144.81.32	10.10.0.106	443	47938	66
1777705813.148201049	10.10.0.106	52.108.8.12	60828	443	66
1777705813.154954159	52.108.8.12	10.10.0.106	443	60828	263
1777705813.154954287	52.108.8.12	10.10.0.106	443	60828	295
1777705813.154954335	52.108.8.12	10.10.0.106	443	60828	97
1777705813.154979233	10.10.0.106	52.108.8.12	60828	443	66
1777705813.154986005	10.10.0.106	52.108.8.12	60828	443	66
1777705813.154989224	10.10.0.106	52.108.8.12	60828	443	66
1777705813.156686878	10.10.0.106	52.108.8.12	60828	443	101
1777705813.156824583	52.108.8.12	10.10.0.106	443	60828	66
1777705813.300404780	57.144.81.32	10.10.0.106	443	47938	130
1777705813.300446689	10.10.0.106	57.144.81.32	47938	443	66
1777705816.995637325	52.108.44.3	10.10.0.106	443	60756	98
1777705816.996071554	10.10.0.106	52.108.44.3	60756	443	89
1777705816.996148146	10.10.0.106	52.108.44.3	60756	443	89
1777705817.024640284	52.108.44.3	10.10.0.106	443	60756	60
1777705818.355506573	10.10.0.106	104.18.32.47	54420	443	7306
1777705818.355537068	10.10.0.106	104.18.32.47	54420	443	952
1777705818.355664438	10.10.0.106	104.18.32.47	54420	443	5858
1777705818.355802979	104.18.32.47	10.10.0.106	443	54420	66
1777705818.355835115	10.10.0.106	104.18.32.47	54420	443	1026
1777705818.355934489	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356037196	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356203192	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356293667	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356387508	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356483191	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356606926	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356728087	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356853955	104.18.32.47	10.10.0.106	443	54420	66
1777705818.356934048	104.18.32.47	10.10.0.106	443	54420	66
1777705818.441630525	104.18.32.47	10.10.0.106	443	54420	105
1777705818.482181449	10.10.0.106	104.18.32.47	54420	443	66
1777705818.799780741	104.18.32.47	10.10.0.106	443	54420	412
1777705818.799781186	104.18.32.47	10.10.0.106	443	54420	121
1777705818.799781339	104.18.32.47	10.10.0.106	443	54420	97
1777705818.799823726	10.10.0.106	104.18.32.47	54420	443	66
1777705818.799830522	10.10.0.106	104.18.32.47	54420	443	66
1777705818.799835011	10.10.0.106	104.18.32.47	54420	443	66
1777705818.801748590	10.10.0.106	104.18.32.47	54420	443	101
1777705818.801902644	104.18.32.47	10.10.0.106	443	54420	66
1777705824.633104345	10.10.0.106	172.217.194.188	46252	5228	66
